"CHI_COMM_AREA_NAME","count","proportion"
"Brighton Park",30,0.12658
"Near South Side",21,0.08861
"Hyde Park",13,0.05485
"Logan Square",12,0.05063
"Near West Side",12,0.05063
"West Town",12,0.05063
"Uptown",10,0.04219
"Bridgeport",9,0.03797
"Edgewater",7,0.02954
"Lake View",7,0.02954
"Lincoln Square",7,0.02954
"Rogers Park",7,0.02954
"Albany Park",6,0.02532
"Avondale",6,0.02532
"Loop",6,0.02532
"Irving Park",5,0.0211
"South Chicago",5,0.0211
"Lower West Side",4,0.01688
"South Shore",4,0.01688
"Woodlawn",4,0.01688
"Humboldt Park",3,0.01266
"Kenwood",3,0.01266
"North Center",3,0.01266
"South Lawndale",3,0.01266
"Douglas",2,0.00844
"Jefferson Park",2,0.00844
"Mckinley Park",2,0.00844
"Near North Side",2,0.00844
"Oakland",2,0.00844
"Portage Park",2,0.00844
"Washington Park",2,0.00844
"West Pullman",2,0.00844
"West Ridge",2,0.00844
"Archer Heights",1,0.00422
"Ashburn",1,0.00422
"Auburn Gresham",1,0.00422
"Austin",1,0.00422
"Belmont Cragin",1,0.00422
"Beverly",1,0.00422
"Chatham",1,0.00422
"East Garfield Park",1,0.00422
"East Side",1,0.00422
"Englewood",1,0.00422
"Gage Park",1,0.00422
"Garfield Ridge",1,0.00422
"Grand Boulevard",1,0.00422
"Greater Grand Crossing",1,0.00422
"Lincoln Park",1,0.00422
"Morgan Park",1,0.00422
"North Lawndale",1,0.00422
"Norwood Park",1,0.00422
"Riverdale",1,0.00422
"West Englewood",1,0.00422
