"Idea_ID","Idea_Text","Ranking","AOI_web_score","wins","losses","ties","total_matches","Frequentist_MOE_95","Credible_Interval_95","Idea_Source","UUID","Created_at","Idea_ES","Idea_ID_ES"
1144797,"Universal health care",1,80.70175,45,10,5,60,0.09986,0.10749,"USER",NA,"2020-10-09 22:03:45 UTC","Sistema de salud universal",1145255
1136534,"Create more affordable housing",2,79.67914,148,37,18,203,0.05535,0.07206,"SEED",NA,"2020-09-24 16:42:13 UTC","Crear viviendas más asequibles y económicas",1136585
1136527,"Replace all police in schools with school counselors or social workers",3,76.70455,134,40,19,193,0.05964,0.07661,"SEED",NA,"2020-09-24 16:42:13 UTC","Reemplazar a toda la policía en las escuelas con consejeros académicos o trabajadores sociales",1136578
1147125,"Mental health hubs",4,76,18,5,2,25,0.16741,0.16731,"USER",NA,"2020-10-20 15:44:00 UTC","Centros de salud mental",1148353
1136536,"Increased mental health services",5,75.14451,129,42,17,188,0.06178,0.06907,"SEED",NA,"2020-09-24 16:42:13 UTC","Aumentar los servicios de salud mental",1136587
1144775,"Affordable housing",6,75,38,12,6,56,0.11341,0.11921,"USER",NA,"2020-10-09 22:02:16 UTC","Viviendas asequibles",1145233
1144811,"Resources for at risk youth",7,73.68421,55,19,5,79,0.0971,0.09964,"USER",NA,"2020-10-09 22:04:34 UTC","Recursos para jóvenes en situación de riesgo",1145269
1144776,"After school training and leadership programs",8,73.01587,45,16,5,66,0.10709,0.10995,"USER",NA,"2020-10-09 22:02:21 UTC","Programas extracurriculares de liderazgo y capacitación",1145234
1147134,"Need help with rent assistance",9,72.72727,15,5,1,21,0.19048,0.18179,"USER",NA,"2020-10-20 15:44:32 UTC","Ayuda para obtener asistencia de alquiler",1148362
1147101,"Black owned and operated businesses",10,72.41379,20,7,4,31,0.15733,0.16047,"USER",NA,"2020-10-20 15:41:56 UTC","Negocios con propietarios y trabajadores de gente negra",1148329
1144815,"Youth employment training / trades",11,71.69811,37,14,6,57,0.11694,0.12064,"USER",NA,"2020-10-09 22:04:53 UTC","Formación laboral juvenil / oficios",1145273
1144783,"Easily accessible health care",12,71.42857,44,17,4,65,0.10982,0.11118,"USER",NA,"2020-10-09 22:02:50 UTC","Sistema de salud fácilmente accesible",1145241
1144799,"More education grants / scholarships",13,71.21212,46,18,1,65,0.11007,0.1083,"USER",NA,"2020-10-09 22:03:54 UTC","Más subsidios / becas de educación",1145257
1147103,"Grocery stores in food deserts",14,70.83333,16,6,3,25,0.17817,0.17721,"USER",NA,"2020-10-20 15:42:03 UTC","Supermercados en comunidades con desiertos alimentarios",1148331
1141481,"Fund universal child care",15,70.37037,56,23,7,86,0.09651,0.09896,"USER","3c247cd0-04f6-11eb-93ca-db8214976cec","2020-10-02 21:32:01 UTC","Financiar el cuidado infantil universal",1143539
1147132,"Access to childcare",16,70.37037,18,7,5,30,0.1634,0.16633,"USER",NA,"2020-10-20 15:44:25 UTC","Acceso a guarderías",1148360
