"Ward","count","proportion"
"3",23,0.09055
"5",17,0.06693
"1",16,0.06299
"15",16,0.06299
"4",15,0.05906
"25",14,0.05512
"11",11,0.04331
"12",11,0.04331
"33",11,0.04331
"46",10,0.03937
"47",10,0.03937
"35",9,0.03543
"48",8,0.0315
"2",6,0.02362
"44",6,0.02362
"40",5,0.01969
"49",5,0.01969
"20",4,0.01575
"26",4,0.01575
"27",4,0.01575
"28",4,0.01575
"30",4,0.01575
"32",4,0.01575
"9",4,0.01575
"14",3,0.01181
"50",3,0.01181
"6",3,0.01181
"8",3,0.01181
"22",2,0.00787
"29",2,0.00787
"34",2,0.00787
"42",2,0.00787
"45",2,0.00787
"7",2,0.00787
"10",1,0.00394
"16",1,0.00394
"17",1,0.00394
"19",1,0.00394
"21",1,0.00394
"23",1,0.00394
"24",1,0.00394
"31",1,0.00394
"41",1,0.00394
