"Idea_ID","Idea_Text","Ranking","AOI_web_score","wins","losses","ties","total_matches","Frequentist_MOE_95","Credible_Interval_95","Idea_Category","Idea_Source","UUID","Created_at","Idea_ES","Idea_ID_ES"
1136534,"Create more affordable housing",1,80,155,38,20,213,0.05372,0.07641,"Housing","SEED",NA,"2020-09-24 16:42:13 UTC","Crear viviendas más asequibles y económicas",1136585
1144797,"Universal health care",2,79.45205,57,14,9,80,0.08854,0.09754,"Health","USER",NA,"2020-10-09 22:03:45 UTC","Sistema de salud universal",1145255
1136527,"Replace all police in schools with school counselors or social workers",3,76.63043,140,42,22,204,0.05807,0.08353,"Education","SEED",NA,"2020-09-24 16:42:13 UTC","Reemplazar a toda la policía en las escuelas con consejeros académicos o trabajadores sociales",1136578
1144775,"Affordable housing",4,75.38462,48,15,11,74,0.09815,0.11272,"Housing","USER",NA,"2020-10-09 22:02:16 UTC","Viviendas asequibles",1145233
1136536,"Increased mental health services",5,75.13812,135,44,18,197,0.06035,0.06971,"Health","SEED",NA,"2020-09-24 16:42:13 UTC","Aumentar los servicios de salud mental",1136587
1144815,"Youth employment training / trades",6,74.19355,45,15,12,72,0.10107,0.12343,"Community Resources","USER",NA,"2020-10-09 22:04:53 UTC","Formación laboral juvenil / oficios",1145273
1144783,"Easily accessible health care",7,73.61111,52,18,8,78,0.09781,0.10265,"Health","USER",NA,"2020-10-09 22:02:50 UTC","Sistema de salud fácilmente accesible",1145241
1147125,"Mental health hubs",8,73.52941,24,8,5,37,0.14215,0.1477,"Health","USER",NA,"2020-10-20 15:44:00 UTC","Centros de salud mental",1148353
1144799,"More education grants / scholarships",9,72.5,57,21,4,82,0.09664,0.09796,"Education","USER",NA,"2020-10-09 22:03:54 UTC","Más subsidios / becas de educación",1145257
1147101,"Black owned and operated businesses",10,72.34043,33,12,5,50,0.12399,0.12745,"Community Resources","USER",NA,"2020-10-20 15:41:56 UTC","Negocios con propietarios y trabajadores de gente negra",1148329
1147134,"Need help with rent assistance",11,71.875,22,8,4,34,0.15113,0.15369,"Housing","USER",NA,"2020-10-20 15:44:32 UTC","Ayuda para obtener asistencia de alquiler",1148362
1144811,"Resources for at risk youth",12,71.42857,59,23,10,92,0.09231,0.09637,"Community Resources","USER",NA,"2020-10-09 22:04:34 UTC","Recursos para jóvenes en situación de riesgo",1145269
1136524,"Free public Head start and Early head start program",13,70.85714,123,50,25,198,0.0633,0.08971,"Education","SEED",NA,"2020-09-24 16:42:13 UTC","Programas públicos gratuitos de Head Start y de Early Head Start",1136575
1147132,"Access to childcare",14,70.73171,28,11,12,51,0.12487,0.16183,"Community Resources","USER",NA,"2020-10-20 15:44:25 UTC","Acceso a guarderías",1148360
1141481,"Fund universal child care",15,70,62,26,9,97,0.0912,0.09405,"Education","USER","3c247cd0-04f6-11eb-93ca-db8214976cec","2020-10-02 21:32:01 UTC","Financiar el cuidado infantil universal",1143539
1144776,"After school training and leadership programs",16,69.33333,51,22,11,84,0.09861,0.10246,"Education","USER",NA,"2020-10-09 22:02:21 UTC","Programas extracurriculares de liderazgo y capacitación",1145234
1144803,"More options for affordable housing",17,68.96552,39,17,6,62,0.11516,0.11725,"Housing","USER",NA,"2020-10-09 22:04:07 UTC","Más opciones de viviendas asequibles",1145261
1144787,"Free health clinics with mental health",18,68.65672,45,20,2,67,0.11108,0.11002,"Health","USER",NA,"2020-10-09 22:03:04 UTC","Clínicas gratuitas de salud con salud mental",1145245
1136540,"Build community health centers",19,68.60987,152,69,20,241,0.05859,0.06053,"Health","SEED",NA,"2020-09-24 16:42:13 UTC","Construir centros de salud comunitarios",1136591
1144804,"More programs for children and youth",20,68.18182,44,20,6,70,0.10911,0.11069,"Community Resources","USER",NA,"2020-10-09 22:04:11 UTC","Más programas para niños y la juventud",1145262
1144788,"Funded mental health services",21,67.60563,47,22,13,82,0.10129,0.10624,"Health","USER",NA,"2020-10-09 22:03:08 UTC","Servicios de salud mental financiados",1145246
1147110,"Fresh food options / food security",22,67.56757,24,11,4,39,0.14692,0.14667,"Community Resources","USER",NA,"2020-10-20 15:43:07 UTC","Opciones de alimentos frescos / seguridad alimentaria",1148338
1136532,"Homelessness prevention and services",23,67.24138,116,56,24,196,0.06571,0.08237,"Housing","SEED",NA,"2020-09-24 16:42:13 UTC","Servicios y prevención de la falta de vivienda",1136583
1144773,"Accessible health care",24,67.24138,38,18,10,66,0.11323,0.11631,"Health","USER",NA,"2020-10-09 22:01:59 UTC","Sistema de salud accesible",1145231
1136563,"Restorative justice options for non-violent offenses",25,66.99029,137,67,24,228,0.06104,0.07073,"Community Resources","SEED",NA,"2020-09-24 16:42:13 UTC","Opciones de justicia restaurativa para delitos no violentos",1136614
1140850,"Combine food assistance efforts with provision of fresh produce from local farmers",26,66.96429,74,36,14,124,0.08278,0.08521,"Community Resources","USER","c70d0d00-041d-11eb-b8b3-ff1b6ec2112b","2020-10-01 19:58:46 UTC","Combinar los esfuerzos de asistencia alimentaria con el suministro de productos frescos de agricultores locales.",1141779
1136528,"Tuition-free education at Chicago City Colleges for Chicago residents",27,66.66667,123,61,23,207,0.06422,0.07421,"Education","SEED",NA,"2020-09-24 16:42:13 UTC","Educación gratuita para residentes de Chicago en Chicago City Colleges",1136579
1144817,"Livable wages",28,66.66667,41,20,5,66,0.11373,0.11426,"Community Resources","USER",NA,"2020-10-09 22:04:59 UTC","Salario digno",1145275
1147103,"Grocery stores in food deserts",29,66.66667,23,11,5,39,0.14795,0.14815,"Community Resources","USER",NA,"2020-10-20 15:42:03 UTC","Supermercados en comunidades con desiertos alimentarios",1148331
1136543,"Maternal and Child health",30,66.49746,130,65,28,223,0.06195,0.08344,"Health","SEED",NA,"2020-09-24 16:42:13 UTC","Salud maternal e infantil",1136594
1136539,"Substance abuse treatment programs",31,65.95745,123,63,33,219,0.06276,0.09901,"Health","SEED",NA,"2020-09-24 16:42:13 UTC","Programas de tratamiento para los que abusan de sustancias",1136590
1144774,"Affordable and accessible housing / shelters",32,65.75342,47,24,6,77,0.10599,0.10668,"Housing","USER",NA,"2020-10-09 22:02:12 UTC","Viviendas / refugios asequibles y accesibles",1145232
1144789,"Funding for housing / better housing",33,65.15152,42,22,7,71,0.11083,0.11175,"Housing","USER",NA,"2020-10-09 22:03:11 UTC","Financiamiento para viviendas / mejores viviendas",1145247
