commarea_name,commarea_count,commarea_prop
Brighton Park,29,0.21324
West Town,9,0.06618
Hyde Park,8,0.05882
Logan Square,8,0.05882
Uptown,7,0.05147
Near West Side,6,0.04412
Avondale,5,0.03676
Lincoln Square,5,0.03676
Loop,4,0.02941
Rogers Park,4,0.02941
Bridgeport,3,0.02206
Humboldt Park,3,0.02206
Lake View,3,0.02206
Lower West Side,3,0.02206
Albany Park,2,0.01471
Edgewater,2,0.01471
Irving Park,2,0.01471
Kenwood,2,0.01471
Near North Side,2,0.01471
Near South Side,2,0.01471
North Center,2,0.01471
South Shore,2,0.01471
West Pullman,2,0.01471
Archer Heights,1,0.00735
Ashburn,1,0.00735
Austin,1,0.00735
Beverly,1,0.00735
Douglas,1,0.00735
East Garfield Park,1,0.00735
East Side,1,0.00735
Englewood,1,0.00735
Gage Park,1,0.00735
Garfield Ridge,1,0.00735
Grand Boulevard,1,0.00735
Jefferson Park,1,0.00735
Lincoln Park,1,0.00735
Mckinley Park,1,0.00735
North Lawndale,1,0.00735
Norwood Park,1,0.00735
Portage Park,1,0.00735
South Chicago,1,0.00735
South Lawndale,1,0.00735
West Englewood,1,0.00735
Woodlawn,1,0.00735
Armour Square,0,0
Auburn Gresham,0,0
Avalon Park,0,0
Belmont Cragin,0,0
Burnside,0,0
Calumet Heights,0,0
Chatham,0,0
Chicago lawn,0,0
Clearning,0,0
Dunning,0,0
Edison Park,0,0
Forest Glen,0,0
Fuller Glen,0,0
Fuller Park,0,0
Greater Grand Crossing,0,0
Hegewisch,0,0
Hermosa,0,0
Montclare,0,0
Morgan Park,0,0
Mount Greenwood,0,0
New City,0,0
North Park,0,0
Oakland,0,0
Burnside,0,0
Ohare,0,0
Pullman,0,0
Riverside,0,0
Roseland,0,0
South Deering,0,0
Washington Heights,0,0
Washington Park,0,0
West Elsdon,0,0
West Garfield Park,0,0
West Lawn,0,0
West Ridge,0,0
Riverdale,0,0
