Idea_ID,Theme,Idea_Text,Ranking,AOI_web_score,wins,loses,ties,total_matches,MOE_95,Idea_Source,UUID,Created_at,Idea_ES,Idea_ID_ES
1144776,Education,After school training and leadership programs,1,84.61538,21,3,1,25,0.141434093,USER,NA,2020-10-09 22:02:21 UTC,Programas extracurriculares de liderazgo y capacitación,1145234
1144797,Health Care,Universal Health Care,2,84,20,3,4,27,0.138284602,USER,NA,2020-10-09 22:03:45 UTC,Sistema de salud universal,1145255
1136534,Housing,Create more affordable Housing,3,80.25478,125,30,16,171,0.059665661,SEED,NA,2020-09-24 16:42:13 UTC,Crear viviendas más asequibles y económicas,1136585
1144775,Housing,Affordable Housing,4,75.86207,21,6,2,29,0.155746906,USER,NA,2020-10-09 22:02:16 UTC,Viviendas asequibles,1145233
1136536,Health Care,Increased mental Health Care services,5,75.5102,110,35,13,158,0.067053732,SEED,NA,2020-09-24 16:42:13 UTC,Aumentar los servicios de salud mental,1136587
1136527,Carceral System,Replace all police in schools with school counselors or social workers,6,75.1773,105,34,16,155,0.068007701,SEED,NA,2020-09-24 16:42:13 UTC,Reemplazar a toda la policía en las escuelas con consejeros académicos o trabajadores sociales,1136578
1144804,Education,More programs for children and youth,7,75,17,5,1,23,0.176967204,USER,NA,2020-10-09 22:04:11 UTC,Más programas para niños y la juventud,1145262
1136524,Education,Free public Head start and Early head start program,8,72.18045,95,36,19,150,0.07171257,SEED,NA,2020-09-24 16:42:13 UTC,Programas públicos gratuitos de Head Start y de Early Head Start,1136575
1144781,Infrastructure,CTA,9,71.42857,19,7,3,29,0.164421664,USER,NA,2020-10-09 22:02:42 UTC,CTA (Autoridad de Tránsito de Chicago),1145239
1144811,Community Resources,Resources for at risk youth,10,70.27027,25,10,1,36,0.149309044,USER,NA,2020-10-09 22:04:34 UTC,Recursos para jóvenes en situación de riesgo,1145269
1136540,Community Resources,Build community Health Care centers,11,70,125,53,14,192,0.064820907,SEED,NA,2020-09-24 16:42:13 UTC,Construir centros de salud comunitarios,1136591
